SERIAL_NO,NAME,SITE_CLASS,DIS_ACCESS,ACCESS_DSC,COMMENTS,MAINT_BY,DESCRIPTION,TYPE,SUBURB,REGION,LOCAL_GOV_AREA,LONGITUDE,LATITUDE,join_siteI,POSTCODE,POSTCODE_SUBURB,,EVENTS
534,South Maintongoon,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 30Km an","With so many possible activities surrounding you (fishing, motorbike riding, water sports and four-wheel driving) why wouldnt you want to utilise this camp site. From your camp you will have views over Lake Eildon and the Delatite Arm and in the off-seas",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9028647,-37.151333,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
535,Parkers Flat 3,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 21Km an","Situated on the shores of Lake Eildon, you will enjoy the easy access to the waters edge. This area is utilised for several recreational activities, including: fishing, four-wheel driving, motorbike riding, water sports and camping.
This site can become",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9216496,-37.1189004,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
536,Bee Tree,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 15Km an","This site is situated along the shores of Lake Eildon, this site is small and secluded and uncrowded during peak season. This area was originally used as a pine plantation and has since been regenerated to reflect native forest species. 
This area is po",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9566326,-37.123666,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
537,North Camp,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 16.5Km","Located on the shores of Lake Eildon this site has vast views over the Delatite arm. It was originally used as pine plantations before being revegetated to its current state. This area is used for several recreational activities, including: fishing, four",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9526206,-37.1244556,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
538,Crockett Bay,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 17Km an","This newly regenerated site is on the shores of Lake Eildon, being a smaller camp ground, it is often uncrowded. This area is used for many recreational activities, including: fishing, four-wheel driving, motorbike riding, water sports and camping.",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9409685,-37.1267304,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
539,The Island,BASIC,PARTIAL,Located 14 kilometres into the Delatite Arm Reserve along Walshs Road. 2WD dirt road.,"This area was first utilised for producing pine plantations, after most of the pine plantations had been removed revegetation work began and you can see this surrounding you. With mature Eucalypt species offering much needed shade in the warmer months th",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9106031,-37.1249028,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
540,Wentworths,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 11Km an","This area was first utilised for producing pine plantations, after most of the pine plantations had been removed revegetation work began and you can see this surrounding you. With mature Eucalypt species offering much needed shade in the warmer months th",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9800002,-37.13895,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
541,Ewarts Flat,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 12Km an","Listen to the lapping sound of the water on the lake edge whilst kicking back and enjoying the beautiful sunset coming your way this afternoon. This area has a centre point for a number of recreational activities including: fishing, four-wheel driving, m",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9783919,-37.1381598,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
542,Newtons,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 6.3Km a","Overlooking lake Eildon this site is perfect for those that want good access to the lake. This area is good if you want to escape from the world without travelling very far, it is often found with very little or no campers in it. The area offers a smalle",MANSFIELD,"This site can be accessed by small caravans and camper trailers, although be aware that you may have to travel long distances on dirt roads.",Paddling,LAKE EILDON,HUME,MANSFIELD,146.0057279,-37.1810152,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
543,Dumbells,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 25Km an","A shady area nestled in the banks of lake Eildon, this site is great for smaller groups. Enjoy that cast amount of recreational activities that can be undertaken in the reserve (water sports, fishing, camping, four-wheel driving and motorbike riding). 
",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9082209,-37.1292,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
544,Snakes Reserve,BASIC,NONE,From Jamieson follow the Jamieson-Woods Point Rd towards Woods Point. Turn left into camp area at Snakes Reserve Camping sign.,"This spot is very popular and you can see why, you're surrounded by tall Eucalypt native forest, large shady trees and ample space to camp on lush grass. Stopping next to the Goulburn River is a perfect place to stop, with plenty of activities to underta",MANSFIELD,With excellent access to the nearby Goulburn River this spot is great to launch your kayak or canoe and go out on the water exploring for the day.,Paddling,KNOCKWOOD,HUME,MANSFIELD,146.239619,-37.4168,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - KNOCKWOOD,,https://freshlife.tk/paddling
545,Twelve Mile,BASIC,NONE,From Jamieson follow the Jamieson-Woods Point Rd towards Woods Point until left turn into camp area at 12 mile Camping sign.,"Surround yourself with history along the trial of the goldrush in the Upper Goulburn Valley, you will be surrounded by old mining towns, mines and historic relics. You will be staying under tall eucalypt species and be able to undertake several activitie",MANSFIELD,Throughout the Spring and early Summer season this area is perfect for kayakers and canoers with ample water in the river system you could take a leisurely float downstream.,Paddling,KEVINGTON,HUME,MANSFIELD,146.2282755,-37.3851638,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - KEVINGTON,,https://freshlife.tk/paddling
546,Coopers Creek Day Visitor Area One,MID,NONE,"Take Walhalla Rd south of Rawson, this is quite a winding road and can get busy on weekend, from there turn onto Cooper Creek Rd. Follow then turn left onto Coopers Creek Track, please do not continue along Coopers Creek Rd as it runs onto private proper","Enjoy some time with family and friends in beautiful surrounds on the banks of the Thomson river just a stone throw from Walhalla and Erica. This area is rich with history and natural features ready to be explored, just up the road are the old Walhalla R",ERICA,"Thomson River Canoe Trail (Coopers Creek - Brunton's Bridge): Perfect for less-experienced paddlers, this 9km / 3 hour section of the Thomson River Canoe Trail commences at Coopers Creek and follows the beautiful Thomson River down to Bruntons Bridge. Pa",Paddling,COOPERS CREEK,GIPPSLAND,BAW BAW,146.42471,-37.98,69fa2d5e-557c-457a-9103-21bc2609f5eb,3825,3825 - COOPERS CREEK,,https://freshlife.tk/paddling
547,Brunton'S Bridge,BASIC,NONE,"Brunton's Bridge can be accessed from Walhalla in the north by taking Happy Go Lucky Rd at the Walhalla Goldfields Railways and turning right onto Bruntons Bridge Rd. Or from the south by turning onto Bruntons Bridge Rd from Cowwarr  Walhalla Rd. 
Pleas","This picturesque site sits along the popular Bruntons Bridge Rd connecting Walhalla to Cowwarr, check out the historic bridge and take in views of regenerating forest in the area from the viewing platform above the bridge, accessible from the lowest tier",ERICA,"This is the exit point for the popular 9km section of the Thomson River Canoe Trail, which starts at Coopers Creek. There are Grade II rapids present along the route so please seek further information before setting off.",Paddling,COOPERS CREEK,GIPPSLAND,BAW BAW,146.472699,-37.9996,69fa2d5e-557c-457a-9103-21bc2609f5eb,3825,3825 - COOPERS CREEK,,https://freshlife.tk/paddling
548,Glendinning Campsite,MID,NONE,Glendinning Campsite is located south east of Balmoral via the Natimuk - Hamilton Rd.  Approximately 7 km south of Balmoral take Yarramyiup Road on your left and follow this road approximately 13 km to the campsite at the end of the road.,"Glendinning Campsite is situated on the south western edge of Rocklands Reservoir, in river redgum and stringybark forest.  The campsite is generally accessible all year round by 2WD. The camp site is serviced by modern toilet facilities and a boat launc",CAVENDISH,The boat ramp provides easy access for watercraft to allow visitors to begin exploring the reservoir for day visitors. Why not extend your stay and make use of the camping and caravan facilities?,Paddling,ROCKLANDS,BARWON SOUTHWEST,SOUTHERN GRAMPIANS,142.0017,-37.29,262abeb7-7cd3-44ea-abb5-14f80a355bfa,3401,3401 - ROCKLANDS,,https://freshlife.tk/paddling
549,Miners Hut,VERY BASIC,NONE,NA,Nestled in between Jamieson and Woodspoint this day visitor area is fantastic for a stop along this historic journey. This spot is settled next to the Goulburn River and you can enjoy the shade offered by mature canopy trees that surround you and plenty,MANSFIELD,"A great spot to put in your canoe and go for a paddle, located on the edge of the Goulburn river this site is perfect for the avid canoer. You can paddle upstream towards Jamieson or downstream towards Woodspoint.",Paddling,KEVINGTON,HUME,MANSFIELD,146.164252,-37.3585,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - KEVINGTON,,https://freshlife.tk/paddling
550,Doctors Creek Reserve,BASIC,NONE,From Jamieson follow the Jamieson-Woods Point Rd towards Woods Point until Right turn turn into camp area at Doctors Creek Camping area sign.,"Situated on the banks of the Goulburn River, offering relaxed outdoor setting to take in the outdoors. Popular with campers, fishermen and people just out to unwind. Gateway to the Upper Goulburn River and nearby Historical sites.",MANSFIELD,Canoeing and kayaking are very popular in this area and you can see why once youre out on the water yourself.  You will be able to see water birds and wildlife as you paddle through the calm waters.,Paddling,JAMIESON,HUME,MANSFIELD,146.130557,-37.3322,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - JAMIESON,,https://freshlife.tk/paddling
551,Picnic Point,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 6.5Km a","This area was formally known as the pines before being rehabilitated and revegetated back to native forests. Raised up overlooking Lake Eildon you will have picturesque views over the lake.
This site is popular for several recreational activities, inclu",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9933764,-37.1622356,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
552,Long Gully,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 9.5Km a","This site is located close to Goughs bay and can therefore be busy during peak season. You can enjoy connecting back to nature at this site with native species surrounding you and offering shade in the warmer months. 
This is a central spot for several",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9870496,-37.1486121,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
553,North Maintongoon 2,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 28Km an","With so many possible activities surrounding you (fishing, motorbike riding, water sports and four-wheel driving) why wouldnt you want to utilise this camp site. From your camp you will have views over Lake Eildon and the Delatite Arm and with the site o",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9129235,-37.1503938,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
554,Owens Hill,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 21Km an","This area has since been revegetated with native forests, although some areas still contain pine plantations. Situated on the shore of lake Eildon this area is popular for a number of different recreational uses including: fishing, four-wheel driving, mo",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9150718,-37.1158209,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
555,Raids Inlet,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 19.5Km","Nestled in one of lake Eildons many inlets this spot is highly popular during the warmer months. This site is sheltered by large canopy trees and suitable for larger groups. 
This area is used for several recreational activities, including: fishing, fou",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9097159,-37.113413,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
556,Blue Gum Flat 2,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 7.4 Km","Situated on the banks of Lake Eildon, this site is a popular destination for boats, fishermen, campers and trail bike riders alike. Behind you, you will see an expansive area of native bushland worth exploring.
This site can become busy in the warmer mo",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,HOWES CREEK,HUME,MANSFIELD,145.9970452,-37.1720876,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - HOWES CREEK,,https://freshlife.tk/paddling
557,Taylors 2,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 11KM an","Situated along the shores of Lake Eildon, you will wake up to the sound of singing birds and early morning fishermen trolling the waters below you. With shade offered from mature Eucalypt tree regenerated from pine plantations in the past and easy access",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9851881,-37.1403516,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
558,Kangaroo Gully,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 23Km an","A small site situated on the shores of Lake Eildon. A small and secluded site means it is often uncrowded during peak times. This area is used for several recreational activities, including: fishing, four-wheel driving, motorbike riding, water sports and",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9452819,-37.1240299,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
559,Parkers Flat 2,BASIC,NONE,"From Mansfield head towards Mount Buller, turning right on Mansfield Woods Point road follow this for 9.5 km before turning right onto Piries-Goughs Bay Rd, following this road for 7.3km before turning right onto Walshs Rd. Follow Walshs Road for 19Km an","Situated on the shores of Lake Eildon, you will enjoy the easy access to the waters edge. This area is utilised for several recreational activities, including: fishing, four-wheel driving, motorbike riding, water sports and camping.
This site can become",MANSFIELD,Canoeing and kayaking are very popular in Lake Eildon and you can see why once youre out on the water yourself. The vast expanse of the lake and the offshoots and tributaries can easily be explored by paddling around the lake. You will be able to see wat,Paddling,LAKE EILDON,HUME,MANSFIELD,145.9255253,-37.1209246,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - LAKE EILDON,,https://freshlife.tk/paddling
560,Rumpffs,BASIC,NONE,"From Licola follow the Licola-Jamieson Rd (C486) for 9km, turn Right onto Link Rd and then Left onto Glencairn Rd. From here continue 18km on Glencairn and Middle Ridge Road. The campsites are located on the right about 1km after Middle Ridge Road crosse",Rumpff's Flat is located on the Mount Skene Creek just prior to it flowing into the Barkley River. This quiet bush setting is accessed via a scenic drive through the unique Barkley State Forest.,HEYFIELD,The Bicentennial Trail crosses Mt Skene Creek just downstream from Rumpffs campsite.,Horse Riding,LICOLA NORTH,GIPPSLAND,WELLINGTON,146.491535,-37.5075,57f7b166-7696-4238-8a9b-8a1505e7de8f,3858,3858 - LICOLA NORTH,,https://freshlife.tk/horseriding/
561,James Reserve,BASIC,NONE,Turn off the Midland Highway onto Lima East Road at Swanpool. James Reserve is then about 12 kilometres on the right hand side. 2wd dirt road access.,"James Reserve is a lovely open grassy campsite, with beautiful creek frontage.  There are horse yards and about 10 campsites for you all to enjoy.",BENALLA SYDNEY RD,"James Reserve is a lovely open grassy campsite, with beautiful creek frontage.  There are horse yards and about 10 campsites for you all to enjoy.",Horse Riding,LIMA EAST,HUME,BENALLA,145.946877,-36.8369,6f12e44a-29d7-4ca9-9756-bcb444962af4,3673,3673 - LIMA EAST,,https://freshlife.tk/horseriding/
562,Jones Reserve,BASIC,NONE,"Located off the Tatong Tolmie Road, turn into Jones Road","Popular campsite located on side of creek has horse yards,shady campsite with mature trees",BENALLA SYDNEY RD,"Popular campsite located on side of creek has horse yards,shady campsite with mature trees",Horse Riding,ARCHERTON,HUME,BENALLA,146.144122,-36.8468,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - ARCHERTON,,https://freshlife.tk/horseriding/
563,Anderson Mill,MID,PARTIAL,From Marysville take Lyell street to the south which runs into Paradise Plains road.  Head past the Marysville reservoir before reaching Anderson Mill road.  Here turn right and continue on for approximately 4km.  The Anderson Mill campground is on your,"Nestled in the Great Dividing Range this isolated peaceful site, Anderson Mill is available for camping, picnicking and provides horse yard facilities for riders enjoying the Bicentennial National Trail in a bushland setting a short drive into Marysville",MARYSVILLE,Anderson Mill site is perfect for those that love a day forest trail ride or intend to extend their stay and camp with their horses.  The loop camp road is ideal for floats and the horse yards can accommodate larger trail riding groups with a nearby wate,Horse Riding,MARYSVILLE,HUME,MURRINDINDI,145.736526,-37.5427,27088121-4310-48ce-8d3f-b1ec5c1608c6,3779,3779 - MARYSVILLE,,https://freshlife.tk/horseriding/
564,Forest Road Horse Visitor Area,VERY BASIC,NONE,NA,horse unloading area,NOOJEE,horse unloading area,Horse Riding,LABERTOUCHE,GIPPSLAND,BAW BAW,145.820031,-38.0193,c7d0c270-8c0e-4f5d-8d3b-cd15e786cbbc,3816,3816 - LABERTOUCHE,,https://freshlife.tk/horseriding/
565,Latrobe Horse Visitor Area,VERY BASIC,NONE,NA,horse unloading area,NOOJEE,horse unloading area,Horse Riding,NEERIM SOUTH,GIPPSLAND,BAW BAW,146.007565,-38.0102,c7d0c270-8c0e-4f5d-8d3b-cd15e786cbbc,3831,3831 - NEERIM SOUTH,,https://freshlife.tk/horseriding/
566,Woods Point,MID,NONE,"Via 'B' Rd Orbost, following Garnetts Track along until the turnoff to Woods Point Track. A short drive from the township of Orbost, following the river along the fertile Snowy River Flats.","Set on the sandy banks of the Snowy River in amongst warm temperate rainforest you will find a well maintained selection of camping and day picnicking areas, wildlife watching and river based activities.",ORBOST OFFICE,Facilities are provided for horses- secure yards at camp ground,Horse Riding,JARRAHMOND,GIPPSLAND,EAST GIPPSLAND,148.320654,-37.642,eb624ae2-42e4-49eb-a8e0-025121c9d629,3888,3888 - JARRAHMOND,,https://freshlife.tk/horseriding/
567,Tanners Road Camp Site,VERY BASIC,PARTIAL,"From Winchelsea travel south on Winchelsea-Deans Marsh Road, then turn left onto Cape Otway Road.  At the Wurdiboluc Reserve turn right onto Wensleydale Station Road, then left onto Wormbete Station Road.  After 1.9km, turn right onto Tanners Road and ar","Set in on the edge of the Anglesea Heath, Tanners Camp Site offers a basic camping experience in a natural setting.A basic site, Tanners Road Camp Ground has space for approximately 8 tent camp sites and 4 vehicle based camping areas. There are also spac",BARWON DOWNS,Tanners Campground has room for float parking and hitching rails to manage horses. It is a great starting point to explore the track network through the forest.,Horse Riding,WENSLEYDALE,BARWON SOUTHWEST,SURF COAST,144.077498,-38.3305,5fa9b7aa-651d-4c9d-96b1-8f6813b2d933,3241,3241 - WENSLEYDALE,,https://freshlife.tk/horseriding/
568,Number One Camp Horseyards,MID,NONE,"From Melbourne, take the Hume Highway to the Broadford exit; turn right here along Spur road to Main Mountain road.  Continue down Main Mountain road for approximately 2 km to Two Tees road turn left and drive on to the five ways.  Take Flowerdale road a","Popular with small groups and Australian Trail Horse Riding Australia club members this camp is perfect to set up your tent on the grass next to your horse as it provides secure horse yards, picnic shelter, wood fire BBQ's and toilet facilities.",BROADFORD,"Nestled under the large gum trees this camping/picnic site has been set aside for those that would like to enjoy a day horse trail or an overnight stay.  With ample float parking, horse yards, picnic facilities and a toilet the area is an excellent choic",Horse Riding,CLONBINANE,HUME,MITCHELL,145.173374,-37.3203,a50f4750-b17a-47cd-954b-dc694bd441c2,3658,3658 - CLONBINANE,,https://freshlife.tk/horseriding/
569,Firth Park,MID,PARTIAL,"Located 88 kilometres from Melbourne. Follow the Calder Highway to the township of Woodend. At Woodend head west along the Daylesford Road for then turn left down James Road just west of Tylden. Follow this, passing through Trentham East then turn left a","Firth Park is a campground set within heritage ornamental trees. Firth Park is popular with a range of forest users including caravan travellers, 4WD enthusiasts and mountain bike riders. Facilities include toilets, horse yards and a dam. Andersons Mill",DAYLESFORD,There is a network of forest roads and tracks through the surrounding forests popular with horse riders. There are horse yards located on-site.,Horse Riding,TRENTHAM EAST,LODDON MALLEE,MACEDON RANGES,144.409661,-37.4351,8ed3a265-73dc-4458-8977-13cb6f533ef5,3458,3458 - TRENTHAM EAST,,https://freshlife.tk/horseriding/
570,Mount Lonarch,VERY BASIC,NONE,"From Beaufort, north towards on the Main Lead Road for approx. 8km before turning right onto Amphitheatre Road. After 7.3km turn left onto Fortes Road and after 4.8km turn right onto Tower Road, continuing on to the top of Mt Lonarch with the fire tower",Mount Lonarch provides a launch site for hang gliders as well as opportunities for picnicking (with no facilities) with good views.,BEAUFORT,"Site has a large open ground ramp situated on the mountain ridge. Take off is on a steep ground ramp, with a wide treed slot.",Hang Glide,MOUNT LONARCH,GRAMPIANS,PYRENEES,143.339397,-37.2586,39ae637d-9102-49f0-b741-6b280055b033,3468,3468 - MOUNT LONARCH,,https://freshlife.tk/hangglide/
571,Red Rock,VERY BASIC,NONE,"From Beaufort, continue west along the Western Highway for 18km, turn off the Western Highway onto Buangor-Ben Nevis Road and continue on for 13km, then turn sharp right onto Mount Cole Road, continue on for 9.3kn then turn left onto McGuiness Road, then",NA,BEAUFORT,"Red Rock is a large, flat, west facing granite outcrop launch site, above the surrounding tree line.",Hang Glide,EVERSLEY,GRAMPIANS,ARARAT,143.195541,-37.2301,39ae637d-9102-49f0-b741-6b280055b033,3377,3377 - EVERSLEY,,https://freshlife.tk/hangglide/
572,Eversley Sugarloaf,VERY BASIC,NONE,"From Beaufort, continue west along the Western Highway for 18km, turn off the Western Highway onto Buangor-Ben Nevis Road and continue on for 13km, then turn sharp right onto Mount Cole Road, continue on for 9.3kn then turn left onto McGuiness Road, then",NA,BEAUFORT,"North facing large open ground ramp situated on the West side of Ben Nevis, has large clear paddocks out in front. Natural ground ramp. Take off is a corridor through the trees off a rough, steep slope.",Hang Glide,MOUNT COLE,GRAMPIANS,ARARAT,143.183341,-37.2362,39ae637d-9102-49f0-b741-6b280055b033,3377,3377 - MOUNT COLE,,https://freshlife.tk/hangglide/
